date,symbol,open_price,adj_close,volume,FED_RATE,INFLATION_CPI,CONSUMER_CONFIDENCE,SP500,VIX,US10Y,stock_return
2020-07-21,GOOGL,78.657191,77.212601,27486000,0.09,258.352,72.5,3257.3,24.84,0.61,-0.0050645276
2020-07-21,NVDA,10.477288,10.293415,277036000,0.09,258.352,72.5,3257.3,24.84,0.61,-0.0173393175
2020-07-22,NVDA,10.332284,10.403292,367292000,0.09,258.352,72.5,3276.02,24.32,0.6,0.0106744586
2020-07-22,GOOGL,77.20218,77.655754,24482000,0.09,258.352,72.5,3276.02,24.32,0.6,0.005739392
2020-07-22,AAPL,93.706616,94.268707,89001600,0.09,258.352,72.5,3276.02,24.32,0.6,0.0028091018
2020-07-23,AAPL,94.002195,89.977928,197004400,0.09,258.352,72.5,3235.66,26.08,0.59,-0.0455164735
2020-07-23,GOOGL,77.709359,75.268799,33910000,0.09,258.352,72.5,3235.66,26.08,0.59,-0.0307376483
2020-07-23,NVDA,10.414499,10.095338,411660000,0.09,258.352,72.5,3235.66,26.08,0.59,-0.0296015764
2020-07-24,NVDA,9.841455,10.159869,473292000,0.09,258.352,72.5,3215.63,25.84,0.59,0.0063921908
2020-07-24,GOOGL,74.397379,74.844994,29902000,0.09,258.352,72.5,3215.63,25.84,0.59,-0.0056305567
2020-07-24,AAPL,88.177813,89.755051,185438800,0.09,258.352,72.5,3215.63,25.84,0.59,-0.0024770242
2020-07-27,AAPL,90.816233,91.882263,121214000,0.09,258.352,72.5,3239.41,24.74,0.62,0.0237001986
2020-07-27,GOOGL,75.095602,75.898033,27124000,0.09,258.352,72.5,3239.41,24.74,0.62,0.0140696057
2020-07-27,NVDA,10.19749,10.386097,292132000,0.09,258.352,72.5,3239.41,24.74,0.62,0.0222667985
2020-07-28,NVDA,10.33901,10.180799,271636000,0.09,258.352,72.5,3218.44,25.44,0.59,-0.0197666577
2020-07-28,GOOGL,75.67819,74.618698,30910000,0.09,258.352,72.5,3218.44,25.44,0.59,-0.0168559707
2020-07-28,AAPL,91.453415,90.372849,103625600,0.09,258.352,72.5,3218.44,25.44,0.59,-0.0164277045
2020-07-29,AAPL,90.855005,92.105171,90329200,0.09,258.352,72.5,3258.44,24.1,0.58,0.0191686189
2020-07-29,GOOGL,74.685697,75.604256,22676000,0.09,258.352,72.5,3258.44,24.1,0.58,0.0132079168
2020-07-29,NVDA,10.355452,10.429948,284508000,0.09,258.352,72.5,3258.44,24.1,0.58,0.0244724735
2020-07-30,NVDA,10.339757,10.577946,308880000,0.09,258.352,72.5,3246.22,24.76,0.55,0.0141897024
2020-07-30,GOOGL,74.336834,76.34169,36042000,0.09,258.352,72.5,3246.22,24.76,0.55,0.009753874
2020-07-30,AAPL,91.278978,93.219643,158130000,0.09,258.352,72.5,3246.22,24.76,0.55,0.0120999877
2020-07-31,AAPL,99.707904,102.978683,374336800,0.09,258.352,72.5,3271.12,24.46,0.55,0.1046886746
2020-07-31,GOOGL,74.291182,73.839592,91468000,0.09,258.352,72.5,3271.12,24.46,0.55,-0.0327749894
2020-08-03,NVDA,10.696044,10.972851,412720000,0.09,258.352,72.5,3294.61,24.28,0.56,0.0372596486
2020-08-03,GOOGL,73.990944,73.582031,45482000,0.09,258.352,72.5,3294.61,24.28,0.56,-0.0034881115
2020-08-03,AAPL,104.858773,105.573502,308151200,0.09,258.352,72.5,3294.61,24.28,0.56,0.0251976237
2020-08-04,AAPL,105.762492,106.278549,173071600,0.09,258.352,72.5,3306.51,23.76,0.52,0.006678263
2020-08-04,GOOGL,73.778053,73.112579,37212000,0.09,258.352,72.5,3306.51,23.76,0.52,-0.0063799802
2020-08-04,NVDA,11.012464,11.18961,310336000,0.09,258.352,72.5,3306.51,23.76,0.52,0.0197540942
2020-08-05,NVDA,11.205803,11.248407,249924000,0.09,258.352,72.5,3327.77,22.99,0.55,0.0052546817
2020-08-05,GOOGL,73.287266,73.39991,29134000,0.09,258.352,72.5,3327.77,22.99,0.55,0.0039299753
2020-08-05,AAPL,105.999905,106.66375,121776800,0.09,258.352,72.5,3327.77,22.99,0.55,0.0036244426
2020-08-06,AAPL,106.995668,110.385162,202428800,0.09,258.352,72.5,3349.16,22.65,0.55,0.0348891978
2020-08-06,GOOGL,73.254009,74.683205,33306000,0.09,258.352,72.5,3349.16,22.65,0.55,0.0174836002
2020-08-06,NVDA,11.311196,11.296994,244316000,0.09,258.352,72.5,3349.16,22.65,0.55,0.0043194422
2020-08-07,NVDA,11.274071,11.161455,342516000,0.09,258.352,72.5,3351.28,22.21,0.57,-0.011997798
2020-08-07,GOOGL,74.886174,74.356674,27718000,0.09,258.352,72.5,3351.28,22.21,0.57,-0.0043722074
2020-08-07,AAPL,109.907035,107.875496,198045600,0.09,258.352,72.5,3351.28,22.21,0.57,-0.0227355415
2020-08-10,AAPL,109.319655,109.443443,212403600,0.09,258.352,72.5,3360.47,22.13,0.59,0.0145347873
2020-08-10,GOOGL,73.981017,74.279762,20546000,0.09,258.352,72.5,3360.47,22.13,0.59,-0.0010343648
2020-08-10,NVDA,11.295747,11.127071,427796000,0.09,258.352,72.5,3360.47,22.13,0.59,-0.0030805816
2020-08-11,NVDA,11.036132,10.813143,354512000,0.09,258.352,72.5,3333.69,24.03,0.64,-0.0282130485
2020-08-11,GOOGL,74.13982,73.47187,31098000,0.09,258.352,72.5,3333.69,24.03,0.64,-0.0108763386
2020-08-11,AAPL,108.708008,106.188606,187902400,0.09,258.352,72.5,3333.69,24.03,0.64,-0.0297398998
2020-08-12,AAPL,107.278419,109.717728,165598000,0.09,258.352,72.5,3380.35,22.28,0.69,0.0332344639
2020-08-12,GOOGL,73.798407,74.79686,22512000,0.09,258.352,72.5,3380.35,22.28,0.69,0.0180339674
2020-08-12,NVDA,10.953415,11.401388,464412000,0.09,258.352,72.5,3380.35,22.28,0.69,0.0544009641
2020-08-13,NVDA,11.50678,11.40413,374460000,0.09,258.352,72.5,3373.43,22.13,0.71,0.0002404807
2020-08-13,GOOGL,74.844992,75.263824,22388000,0.09,258.352,72.5,3373.43,22.13,0.71,0.006243106
2020-08-13,AAPL,111.096365,111.65947,210082000,0.09,258.352,72.5,3373.43,22.13,0.71,0.0176976135
2020-08-14,GOOGL,75.112974,74.667343,21942000,0.09,258.352,72.5,3372.85,22.05,0.71,-0.0079252061
2020-08-14,NVDA,11.490832,11.524717,366436000,0.09,258.352,72.5,3372.85,22.05,0.71,0.0105740069
2020-08-17,NVDA,11.810991,12.295091,621300000,0.09,258.352,72.5,3381.99,21.35,0.69,0.0668453136
2020-08-17,GOOGL,75.230074,75.243469,19990000,0.09,258.352,72.5,3381.99,21.35,0.69,0.0077159046
2020-08-17,AAPL,112.681275,111.268661,119561600,0.09,258.352,72.5,3381.99,21.35,0.69,-0.0026108604
2020-08-18,AAPL,111.021098,112.195847,105633600,0.09,258.352,72.5,3389.78,21.51,0.67,0.0083328499
2020-08-18,GOOGL,75.73377,77.20565,28378000,0.09,258.352,72.5,3389.78,21.51,0.67,0.0260777595
2020-08-18,NVDA,12.407707,12.2191,503448000,0.09,258.352,72.5,3389.78,21.51,0.67,-0.0061805707
2020-08-19,NVDA,12.25473,12.097267,622624000,0.09,258.352,72.5,3374.85,22.54,0.68,-0.0099706891
2020-08-19,GOOGL,77.042387,76.651344,30472000,0.09,258.352,72.5,3374.85,22.54,0.68,-0.0071796044
2020-08-19,AAPL,112.603614,112.336624,145538000,0.09,258.352,72.5,3374.85,22.54,0.68,0.0012547487
2020-08-20,AAPL,112.377897,114.829338,126907200,0.09,258.352,72.5,3385.51,22.72,0.65,0.0221896817
2020-08-20,GOOGL,76.421082,78.221481,26382000,0.09,258.352,72.5,3385.51,22.72,0.65,0.020484142
2020-08-20,NVDA,11.934321,12.099756,921388000,0.09,258.352,72.5,3385.51,22.72,0.65,0.0002057564
2020-08-21,NVDA,12.160302,12.640416,999868000,0.09,258.352,72.5,3397.16,22.54,0.64,0.0446835369
2020-08-21,GOOGL,78.000643,78.187737,34838000,0.09,258.352,72.5,3397.16,22.54,0.64,-0.0004314008
2020-08-21,AAPL,115.788062,120.746773,338054800,0.09,258.352,72.5,3397.16,22.54,0.64,0.0515324288
2020-08-24,AAPL,124.948193,122.190933,345937600,0.09,258.352,72.5,3431.28,22.37,0.65,0.0119602407
2020-08-24,GOOGL,79.026392,78.663139,25638000,0.09,258.352,72.5,3431.28,22.37,0.65,0.0060802736
2020-08-24,NVDA,12.839983,12.677038,490564000,0.09,258.352,72.5,3431.28,22.37,0.65,0.0028972185
2020-08-25,NVDA,12.587844,12.706689,289076000,0.09,258.352,72.5,3443.62,22.03,0.69,0.0023389287
2020-08-25,GOOGL,78.412533,79.690384,25150000,0.09,258.352,72.5,3443.62,22.03,0.69,0.0130587792
2020-08-25,AAPL,121.064711,121.188492,211495600,0.09,258.352,72.5,3443.62,22.03,0.69,-0.0082038935
2020-08-26,AAPL,122.504057,122.836578,163022400,0.09,258.352,72.5,3478.73,23.27,0.69,0.0135993651
2020-08-26,GOOGL,79.712709,81.590019,52188000,0.09,258.352,72.5,3478.73,23.27,0.69,0.0238376981
2020-08-26,NVDA,12.755773,12.729612,321244000,0.09,258.352,72.5,3478.73,23.27,0.69,0.0018040474
2020-08-27,NVDA,12.738083,12.585354,317604000,0.09,258.352,72.5,3484.55,24.47,0.74,-0.0113325131
2020-08-27,GOOGL,81.713096,80.815384,31350000,0.09,258.352,72.5,3484.55,24.47,0.74,-0.0094942411
2020-08-27,AAPL,123.438492,121.368118,155552400,0.09,258.352,72.5,3484.55,24.47,0.74,-0.0119545831
2020-08-28,AAPL,122.34139,121.171501,187630000,0.09,258.352,72.5,3508.01,22.96,0.74,-0.0016200064
2020-08-28,GOOGL,80.86253,81.356789,22418000,0.09,258.352,72.5,3508.01,22.96,0.74,0.006699278
2020-08-28,NVDA,12.631944,13.103087,537160000,0.09,258.352,72.5,3508.01,22.96,0.74,0.0411377844
2020-08-31,NVDA,13.137969,13.329068,500840000,0.09,258.352,72.5,3500.31,26.41,0.72,0.0172463749
2020-08-31,GOOGL,81.562241,80.865509,26422000,0.09,258.352,72.5,3500.31,26.41,0.72,-0.0060385815
2020-08-31,AAPL,123.86325,125.280708,225702700,0.09,258.352,72.5,3500.31,26.41,0.72,0.0339123236
